ADDRESS,ABCD,TIMER
2,10000,24445
1,10000,24446
1,10000,24446
1,10000,24446
8,10000,24446
0,10000,24446
0,10000,24446
7,10000,24446
7,10000,24446
7,10000,24446
6,10000,24447
5,00001,24454
5,00001,24454
5,00001,24454
4,00001,24455
4,00001,24455
1,00001,24456
1,00001,24456
1,00001,24456
8,00001,24456
8,00001,24456
0,00001,24456
0,00001,24456
0,00001,24456
7,00001,24456
6,00001,24457
6,00001,24457
5,00010,24464
5,00010,24464
5,00010,24464
0,00010,24467
0,00010,24467
0,00010,24467
5,00100,24475
5,00100,24475
2,00100,24476
2,00100,24476
2,00100,24476
0,00100,24477
0,00100,24477
5,01000,24485
5,01000,24485
5,01000,24485
2,01000,24486
2,01000,24486
2,01000,24486
0,01000,24487
0,01000,24487
0,01000,24487
5,10000,24496
5,10000,24496
5,10000,24496
4,10000,24496
4,10000,24496
4,10000,24496
2,10000,24497
2,10000,24497
1,10000,24497
1,10000,24497
1,10000,24497
8,10000,24497
8,10000,24497
0,10000,24498
7,10000,24498
7,10000,24498
7,10000,24498
6,10000,24498
6,10000,24498
5,00001,24506
5,00001,24506
5,00001,24506
4,00001,24507
4,00001,24507
4,00001,24507
1,00001,24508
1,00001,24508
1,00001,24508
8,00001,24508
0,00001,24508
0,00001,24508
0,00001,24508
7,00001,24508
7,00001,24508
6,00001,24509
5,00010,24516
5,00010,24516
5,00010,24516
0,00010,24518
0,00010,24518
0,00010,24518
5,00100,24527
2,00100,24528
2,00100,24528
2,00100,24528
0,00100,24529
5,01000,24537
5,01000,24537
5,01000,24537
2,01000,24538
2,01000,24538
2,01000,24538
0,01000,24539
0,01000,24539
0,01000,24539
5,10000,24548
4,10000,24548
4,10000,24548
4,10000,24548
2,10000,24549
1,10000,24549
1,10000,24549
1,10000,24549
8,10000,24549
0,10000,24550
0,10000,24550
7,10000,24550
7,10000,24550
7,10000,24550
6,10000,24550
5,00001,24558
5,00001,24558
5,00001,24558
4,00001,24558
4,00001,24558
4,00001,24558
1,00001,24560
8,00001,24560
8,00001,24560
8,00001,24560
0,00001,24560
0,00001,24560
7,00001,24560
7,00001,24560
7,00001,24560
6,00001,24561
5,00010,24568
5,00010,24568
5,00010,24568
0,00010,24570
0,00010,24570
5,00100,24578
2,00100,24580
2,00100,24580
2,00100,24580
0,00100,24581
5,01000,24589
5,01000,24589
5,01000,24589
2,01000,24590
2,01000,24590
2,01000,24590
0,01000,24591
0,01000,24591
0,01000,24591
5,10000,24599
5,10000,24599
5,10000,24599
4,10000,24600
4,10000,24600
4,10000,24600
2,10000,24601
1,10000,24601
1,10000,24601
1,10000,24601
8,10000,24601
0,10000,24602
0,10000,24602
7,10000,24602
7,10000,24602
7,10000,24602
6,10000,24602
2,00001,16921
2,00001,16921
2,00001,16921
9,00001,16921
1,00001,16921
1,00001,16921
1,00001,16921
15,00001,16922
15,00001,16922
15,00001,16922
14,00001,16922
14,00001,16922
14,00001,16922
12,00010,16930
12,00010,16930
17,00010,16931
17,00010,16931
2,00010,16931
2,00010,16931
2,00010,16931
16,00010,16932
16,00010,16932
16,00010,16932
8,00010,16932
15,00010,16932
15,00010,16932
0,00010,16932
0,00010,16932
0,00010,16932
12,00001,17130
12,00001,17130
12,00001,17130
17,00001,17131
9,00001,17132
16,00001,17132
16,00001,17132
16,00001,17132
1,00001,17132
1,00001,17132
8,00001,17132
0,00001,17133
0,00001,17133
7,00001,17133
7,00001,17133
7,00001,17133
14,00001,17133
13,00001,17133
13,00001,17133
13,00000,17133
5,00010,17140
5,00010,17140
2,00100,17152
2,00100,17152
15,00100,17153
15,00100,17153
6,00100,17154
6,00100,17154
6,00100,17154
14,01000,17163
14,01000,17163
14,01000,17163
5,10000,17172
5,10000,17172
5,10000,17172
12,10000,17172
12,10000,17172
18,10000,17172
17,10000,17173
9,10000,17173
16,10000,17173
16,10000,17173
16,10000,17173
1,10000,17173
1,10000,17173
8,10000,17174
0,10000,17174
0,10000,17174
17,00001,17495
17,00001,17495
17,00001,17495
9,00001,17495
16,00001,17495
16,00001,17495
1,00001,17495
1,00001,17495
1,00001,17495
0,00001,17496
14,00001,17496
13,00001,17497
13,00000,17497
13,00000,17497
2,00100,17515
15,00100,17516
15,00100,17516
15,00100,17516
14,00100,17516
6,00100,17517
6,00100,17517
6,00100,17517
5,10000,17535
5,10000,17535
5,10000,17535
12,10000,17535
12,10000,17535
18,10000,17535
18,10000,17535
18,10000,17535
17,10000,17536
17,10000,17536
17,10000,17536
9,10000,17536
16,10000,17536
16,10000,17536
16,10000,17536
1,10000,17536
17,10000,17797
9,10000,17797
16,10000,17797
16,10000,17797
16,10000,17797
1,10000,17797
1,10000,17797
8,10000,17797
0,10000,17798
0,10000,17798
14,10000,17798
14,10000,17798
14,10000,17798
13,10000,17799
13,10000,17799
13,00000,17799
5,00001,17806
5,00001,17806
5,00001,17806
17,00001,17807
17,00001,17807
17,00001,17807
9,00001,17808
9,00001,17808
9,00001,17808
1,00001,17808
1,00001,17808
0,00001,17809
0,00001,17809
7,00001,17809
7,00001,17809
7,00001,17809
14,00001,17809
13,00001,17809
13,00001,17809
13,00000,17809
2,00100,17828
2,00100,17828
16,00100,17828
16,00100,17828
16,00100,17828
15,00100,17829
15,00100,17829
15,00100,17829
6,00100,17830
6,00100,17830
6,00100,17830
7,00001,18121
7,00001,18121
14,00001,18121
13,00001,18122
13,00001,18122
13,00000,18122
5,00010,18129
5,00010,18129
16,00010,18131
16,00010,18131
16,00010,18131
3,00100,18141
3,00100,18141
3,00100,18141
10,00100,18141
10,00100,18141
2,00100,18141
15,00100,18142
6,00100,18143
6,00100,18143
6,00100,18143
3,01000,18151
3,01000,18151
3,01000,18151
10,01000,18151
5,10000,18161
5,10000,18161
5,10000,18161
12,10000,18161
7,00100,18354
7,00100,18354
6,00100,18354
6,00100,18354
6,00100,18354
13,00100,18354
13,00100,18354
5,01000,18362
5,01000,18362
5,01000,18362
12,01000,18362
18,01000,18363
18,01000,18363
3,01000,18363
10,01000,18363
10,01000,18363
10,01000,18363
17,01000,18363
17,01000,18363
1,01000,18364
8,01000,18364
8,01000,18364
8,01000,18364
7,01000,18364
7,01000,18364
7,01000,18364
6,01000,18365
6,01000,18365
6,01000,18365
13,01000,18365
13,01000,18365
5,10000,18372
5,10000,18372
5,10000,18372
18,10000,18373
18,10000,18373
18,10000,18373
9,10000,18374
16,10000,18374
16,10000,18374
0,10000,18375
0,10000,18375
0,10000,18375
14,10000,18375
14,10000,18375
12,00001,19383
12,00001,19383
12,00001,19383
4,00001,19383
4,00001,19383
4,00001,19383
17,00001,19384
17,00001,19384
17,00001,19384
16,00001,19384
16,00001,19384
16,00001,19384
7,00001,19385
7,00001,19385
7,00001,19385
12,00010,19393
12,00010,19393
12,00010,19393
4,00010,19393
4,00010,19393
4,00010,19393
3,00010,19394
3,00010,19394
3,00010,19394
10,00010,19394
10,00010,19394
17,00010,19394
15,00010,19395
15,00010,19395
0,00010,19395
7,00010,19395
7,00010,19395
15,00001,19594
15,00001,19594
15,00001,19594
0,00001,19594
6,00001,19595
6,00001,19595
6,00001,19595
12,00010,19603
12,00010,19603
